,"Historique"
,"Drame Guerre"
,"Biopic"
,"Western"
,"Fantastique"
,"Policier"
,fantastique
,comedie
,comedie dramatique
,Péplum
,Aventure
,Drame
,Action
,Guerre
,Historique
,Comédie
,Policier
,Thriller
,fantasy
,animation
,"Film d'action"
,"Thriller"
,"Film de gangsters"
,"Comédie noire"
