id,first_name,last_name,country
,Robin,Williams,USA
,Ethan,Hawke,USA
,Robert Sean,Leonard,USA
,Chris,Sarandon,USA
,Danny,Elfman,USA
,Catherine,O'hara,USA
,Victor,Lanoux,France
,Thierry,Frémont,France
,Nadia,Farès,France
