1,"Historique"
2,"Drame Guerre"
3,"Biopic"
4,"Western"
5,"Fantastique"
6,"Policier"
7,fantastique
8,comedie
9,comedie dramatique
10,Péplum
11,Aventure
12,Drame
13,Action
14,Guerre
15,Historique
16,Comédie
17,Policier
18,Thriller
19,fantasy
20,animation
21,"Film d'action"
22,"Thriller"
23,"Film de gangsters"
24,"Comédie noire"
